No,Title,Content
000,Module 0: 入门导读,"欢迎来到纽约州公证人培训课程！

本模块将帮助您：
• 了解课程结构和学习路径
• 认识公证人职业的重要性
• 掌握纽约州公证制度的基本框架
• 学会如何高效使用本培训系统

建议学习时间：1-2小时

准备好开始您的公证人职业之旅了吗？让我们开始吧！"
001,课程介绍与学习指南,"【课程概述】

本课程是纽约州公证人（Notary Public）执照考试的官方培训教材，基于NYS Department of State发布的《Notary Public License Law》（2023年1月版）开发。

【学习目标】
完成本课程后，您将能够：
1. 理解纽约州公证人的法律职责和权限
2. 掌握公证流程的正确操作方法
3. 识别并避免常见的违规行为
4. 通过纽约州公证人执照考试

【课程结构】

本课程分为10个模块，共121课：

**Module 0: 入门导读** (⭐ 入门级)
- 课程介绍
- 职业概述
- 制度简介
- 使用指南

**Module 1: 基础知识** (⭐ 入门级)
- 职业行为准则
- 公证人职责与权力
- 任命资格要求
- 基本术语定义

**Module 2: 任命流程** (⭐⭐ 初级)
- 申请流程详解
- 考试与认证
- 续期与变更
- 费用标准

**Module 3: 公证操作** (⭐⭐ 初级)
- 认证 (Acknowledgment)
- 宣誓 (Oath/Affirmation)
- 证词 (Affidavit)
- 证明 (Proof)

**Module 4: 电子公证** (⭐⭐⭐ 中级)
- 电子公证基础
- 注册要求
- 身份验证
- 技术标准

**Module 5: 房地产文件** (⭐⭐⭐ 中级)
- 房地产法基础
- 契约公证
- 抵押文件
- 统一格式

**Module 6: 限制与合规** (⭐⭐⭐ 中级)
- 禁止行为
- 利益冲突
- 广告限制
- 法律实践边界

**Module 7: 违规与处罚** (⭐⭐⭐ 中级)
- 常见违规行为
- 刑事责任
- 民事责任
- 撤职程序

**Module 8: 实务案例** (⭐⭐⭐⭐ 进阶)
- 案例分析
- 最佳实践
- 问题处理
- 风险防范

**Module 9: 进阶专题** (⭐⭐⭐⭐ 进阶)
- 公司文件公证
- 跨州公证
- 国际文件认证
- 特殊情况处理

**Module 10: 考试准备** (⭐⭐⭐⭐⭐ 精通)
- 综合复习
- 模拟测试
- 考试技巧
- 认证流程

【学习建议】

**新手学习路径**（建议2-4周）：
1. 完成Module 0-1（基础）
2. 完成Module 2-3（操作）
3. 学习Module 6-7（合规）
4. 完成Module 10（考试）

**进阶学习路径**（已有基础）：
1. 快速浏览Module 0-3
2. 重点学习Module 4-5（电子公证、房地产）
3. 深入研究Module 8-9（案例、专题）
4. 模拟测试

**时间安排建议**：
- 每天学习1-2小时
- 每周完成1-2个模块
- 总计4-8周完成全部课程

【学习工具】

本课程提供：
✅ 交互式课程内容
✅ 法律条文原文引用
✅ 实际案例分析
✅ 练习题和测试
✅ 重点提示和警告
✅ 术语表和索引

【考试信息】

**考试要求**：
- 多选题形式
- 及格分数：70分（满分100分）
- 考试费用：$15
- 可重考（需再交费）

**豁免条件**：
- 纽约州执业律师（无需考试）
- 法院书记员（特定条件）

【获取帮助】

遇到问题？
- 查看课程内FAQ
- 访问NYS Depart of State官网
- 联系培训机构
- 查阅法律原文

【重要提示】

⚠️ 本课程仅用于教育目的
⚠️ 法律条文以官方版本为准
⚠️ 建议结合实际案例学习
⚠️ 定期复习巩固知识

准备好了吗？让我们开始Module 1！"
002,公证人职业概述,"【什么是公证人？】

公证人（Notary Public）是由纽约州务卿（Secretary of State）任命的公职人员，主要职责是：

✅ **验证身份**
确认签字人就是文件中指定的人

✅ **见证签名**
确保签名是在公证人面前完成的

✅ **管理宣誓**
让宣誓人在神或法律面前承诺诚实

✅ **防止欺诈**
通过严格程序保护文件的真实性

【为什么需要公证人？】

公证人在社会中扮演着关键角色：

**1. 保护财产权**
"Upon the faith of these acknowledgments rests the title of real property..."
—— Matter of Gottheim案

房地产交易中，公证确保契约的有效性，保护买卖双方的权益。

**2. 维护法律秩序**
